review_id,product_id,customer_id,rating,title,comment,is_verified_purchase,helpful_votes,created_at
1,54,24,3,Very good,Product is fine but delivery was slow.,false,37,2024-07-16
2,27,134,5,Recommended,"Exceeded my expectations, highly recommend.",true,46,2024-12-09
3,39,67,3,Could be better,"Exceeded my expectations, highly recommend.",false,19,2026-01-17
4,70,306,5,Could be better,"Exceeded my expectations, highly recommend.",false,34,2024-03-12
5,74,110,3,Very good,Excellent value for money.,false,49,2025-06-22
6,78,131,5,Satisfied,Product is fine but delivery was slow.,true,1,2024-01-04
7,34,197,2,Could be better,Excellent value for money.,true,3,2026-02-14
8,27,60,5,Excellent product,Arrived on time and in perfect condition.,true,25,2024-02-14
9,7,44,4,Satisfied,Arrived on time and in perfect condition.,true,25,2023-02-26
10,66,334,2,Not so good,"Exceeded my expectations, highly recommend.",false,9,2025-05-06
11,65,276,4,Satisfied,Very good quality for the price.,false,17,2024-01-17
12,64,241,1,Good quality,"Exceeded my expectations, highly recommend.",false,35,2023-12-10
13,86,112,2,Recommended,Product is fine but delivery was slow.,false,19,2026-01-15
14,79,166,5,Very good,Did not meet my expectations.,true,6,2024-11-09
15,88,334,2,Satisfied,Does what it promises.,false,43,2026-02-07
16,2,34,1,Could be better,"Exceeded my expectations, highly recommend.",true,19,2025-03-26
17,42,122,1,Recommended,Excellent value for money.,false,12,2023-05-21
18,70,12,4,Could be better,Did not meet my expectations.,false,4,2023-03-27
19,4,86,3,Satisfied,Very good quality for the price.,true,47,2026-01-14
20,56,179,2,Satisfied,Very good quality for the price.,true,31,2026-01-26
21,60,79,1,Meets expectations,Good but expected a bit more.,false,28,2024-12-07
22,64,322,3,Not so good,Very good quality for the price.,true,39,2024-07-11
23,6,245,3,Could be better,Good but expected a bit more.,false,0,2024-05-21
24,82,220,1,Satisfied,Does what it promises.,true,24,2023-09-30
25,97,147,2,Recommended,Arrived on time and in perfect condition.,false,23,2024-02-22
26,40,125,5,Meets expectations,Good but expected a bit more.,false,36,2026-01-01
27,42,284,1,Excellent product,Product is fine but delivery was slow.,true,23,2024-01-02
28,23,235,3,Recommended,Did not meet my expectations.,true,31,2024-06-28
29,73,134,3,Very good,Product is fine but delivery was slow.,false,0,2024-06-15
30,13,102,4,Good quality,Excellent value for money.,true,23,2025-11-30
31,15,151,5,Good quality,Product is fine but delivery was slow.,false,24,2023-10-28
32,20,119,4,Recommended,Arrived on time and in perfect condition.,false,48,2025-06-01
33,53,14,1,Excellent product,Arrived on time and in perfect condition.,false,26,2025-02-24
34,67,56,5,Very good,Good but expected a bit more.,true,20,2024-03-29
35,75,252,3,Excellent product,Good but expected a bit more.,true,39,2024-05-30
36,7,245,2,Could be better,Arrived on time and in perfect condition.,true,1,2023-05-31
37,70,241,5,Excellent product,Arrived on time and in perfect condition.,true,49,2024-09-24
38,56,239,2,Could be better,Does what it promises.,true,46,2025-07-02
39,32,11,2,Recommended,Arrived on time and in perfect condition.,true,0,2023-07-22
40,20,175,2,Very good,Does what it promises.,false,3,2025-08-22
41,97,105,5,Excellent product,Very good quality for the price.,true,19,2024-12-16
42,44,139,3,Satisfied,Arrived on time and in perfect condition.,true,46,2025-10-16
43,81,8,3,Excellent product,Does what it promises.,true,11,2024-02-11
44,11,131,1,Not so good,"Exceeded my expectations, highly recommend.",true,14,2026-02-01
45,22,212,5,Good quality,"Exceeded my expectations, highly recommend.",true,41,2024-05-02
46,89,107,4,Could be better,Good but expected a bit more.,true,29,2025-07-28
47,20,231,4,Satisfied,Excellent value for money.,true,19,2025-04-10
48,25,211,4,Excellent product,Product is fine but delivery was slow.,false,19,2025-04-27
49,57,173,5,Could be better,Does what it promises.,true,28,2024-08-15
50,12,236,4,Recommended,Arrived on time and in perfect condition.,true,1,2025-04-14
51,5,29,4,Good quality,Very good quality for the price.,true,23,2024-05-29
52,67,95,1,Satisfied,Product is fine but delivery was slow.,true,27,2026-03-05
53,50,83,3,Meets expectations,Product is fine but delivery was slow.,true,0,2023-08-06
54,98,212,5,Not so good,Did not meet my expectations.,true,31,2023-05-16
55,13,143,3,Good quality,Product is fine but delivery was slow.,true,45,2024-10-08
56,80,32,2,Satisfied,Does what it promises.,true,9,2026-02-18
57,32,250,4,Meets expectations,Very good quality for the price.,true,36,2023-02-13
58,4,72,5,Excellent product,Excellent value for money.,false,30,2024-09-11
59,74,40,4,Satisfied,Very good quality for the price.,false,19,2025-01-28
60,87,292,3,Satisfied,"Exceeded my expectations, highly recommend.",true,40,2025-04-13
61,70,172,1,Excellent product,Excellent value for money.,true,30,2025-02-21
62,75,322,5,Very good,Did not meet my expectations.,true,16,2023-02-02
63,53,46,1,Could be better,Good but expected a bit more.,false,19,2024-09-02
64,6,172,4,Good quality,Product is fine but delivery was slow.,true,39,2026-02-15
65,26,332,1,Excellent product,Very good quality for the price.,true,48,2024-11-24
66,89,243,2,Excellent product,Did not meet my expectations.,true,4,2023-09-19
67,40,285,2,Could be better,Good but expected a bit more.,true,7,2023-08-12
68,40,293,4,Could be better,Did not meet my expectations.,true,1,2024-12-07
69,54,155,1,Not so good,Does what it promises.,true,22,2023-12-21
70,65,206,1,Excellent product,Good but expected a bit more.,true,11,2024-05-27
71,88,87,4,Satisfied,Good but expected a bit more.,true,13,2024-10-15
72,50,28,5,Good quality,Excellent value for money.,true,39,2025-07-23
73,38,165,2,Satisfied,Does what it promises.,true,48,2023-11-04
74,94,135,5,Could be better,Arrived on time and in perfect condition.,true,17,2024-09-26
75,21,310,5,Could be better,Good but expected a bit more.,true,38,2025-09-08
76,82,137,1,Meets expectations,Arrived on time and in perfect condition.,false,33,2023-12-27
77,8,198,1,Excellent product,Product is fine but delivery was slow.,true,29,2023-02-26
78,54,279,4,Very good,Arrived on time and in perfect condition.,false,27,2024-02-10
79,52,174,1,Good quality,"Exceeded my expectations, highly recommend.",true,15,2024-11-23
80,59,115,4,Could be better,Arrived on time and in perfect condition.,false,34,2024-02-04
81,23,284,2,Excellent product,Product is fine but delivery was slow.,true,43,2026-03-13
82,79,311,5,Meets expectations,Excellent value for money.,true,3,2023-06-13
83,37,63,2,Satisfied,Very good quality for the price.,true,22,2024-02-15
84,12,254,1,Not so good,Very good quality for the price.,true,14,2026-03-05
85,5,189,5,Good quality,"Exceeded my expectations, highly recommend.",true,3,2024-04-24
86,44,208,4,Very good,"Exceeded my expectations, highly recommend.",false,21,2024-04-27
87,19,261,5,Meets expectations,Product is fine but delivery was slow.,true,0,2023-12-03
88,82,82,3,Satisfied,"Exceeded my expectations, highly recommend.",true,24,2023-10-12
89,60,88,5,Excellent product,"Exceeded my expectations, highly recommend.",false,15,2025-01-26
90,57,314,4,Not so good,Excellent value for money.,false,18,2023-11-08
91,78,10,1,Satisfied,Did not meet my expectations.,true,45,2024-11-28
92,20,166,1,Could be better,Does what it promises.,true,32,2023-09-08
93,3,306,2,Very good,"Exceeded my expectations, highly recommend.",false,3,2024-09-28
94,67,263,2,Excellent product,Arrived on time and in perfect condition.,true,21,2023-06-15
95,50,122,2,Excellent product,Does what it promises.,true,40,2025-02-22
96,46,297,1,Meets expectations,Does what it promises.,false,33,2025-05-11
97,10,327,1,Could be better,Very good quality for the price.,true,11,2026-01-17
98,97,237,4,Recommended,Very good quality for the price.,true,24,2025-08-18
99,63,132,3,Recommended,Does what it promises.,false,1,2023-10-30
100,12,205,3,Meets expectations,Excellent value for money.,false,18,2025-01-27
101,17,333,3,Good quality,Very good quality for the price.,true,6,2024-06-01
102,53,156,3,Recommended,Very good quality for the price.,false,36,2025-01-21
103,98,219,2,Good quality,Does what it promises.,true,4,2026-03-07
104,78,212,3,Good quality,"Exceeded my expectations, highly recommend.",true,50,2023-01-13
105,79,32,2,Very good,Did not meet my expectations.,true,42,2024-01-18
106,1,145,3,Could be better,Did not meet my expectations.,false,29,2024-05-08
107,79,197,2,Not so good,Does what it promises.,true,16,2023-09-24
108,54,206,3,Not so good,Does what it promises.,true,2,2025-05-01
109,100,6,3,Recommended,"Exceeded my expectations, highly recommend.",true,35,2024-08-05
110,37,265,5,Recommended,Product is fine but delivery was slow.,true,5,2024-01-04
111,16,55,2,Could be better,Product is fine but delivery was slow.,true,21,2023-02-12
112,90,184,5,Excellent product,Does what it promises.,true,32,2024-10-27
113,11,26,2,Not so good,Good but expected a bit more.,true,4,2026-01-27
114,65,230,4,Recommended,"Exceeded my expectations, highly recommend.",true,15,2025-11-25
115,44,43,3,Satisfied,Does what it promises.,false,34,2025-12-25
116,19,250,3,Not so good,Good but expected a bit more.,true,33,2023-04-11
117,12,254,2,Could be better,Product is fine but delivery was slow.,false,45,2025-07-25
118,28,181,1,Meets expectations,Excellent value for money.,true,36,2023-09-20
119,72,245,2,Recommended,Excellent value for money.,true,30,2025-07-04
120,11,83,1,Recommended,"Exceeded my expectations, highly recommend.",false,11,2025-06-24
121,2,284,5,Satisfied,Very good quality for the price.,false,23,2023-01-10
122,66,313,2,Satisfied,Does what it promises.,true,32,2025-03-23
123,1,79,5,Not so good,Does what it promises.,true,19,2025-09-11
124,19,120,2,Recommended,Good but expected a bit more.,true,25,2025-04-08
125,56,203,2,Very good,Good but expected a bit more.,true,39,2023-09-15
126,42,9,2,Satisfied,Very good quality for the price.,false,50,2024-05-05
127,46,180,2,Satisfied,Arrived on time and in perfect condition.,true,31,2023-05-10
128,81,170,3,Could be better,Arrived on time and in perfect condition.,false,9,2024-11-26
129,46,158,3,Meets expectations,Very good quality for the price.,true,33,2024-09-20
130,54,299,2,Not so good,"Exceeded my expectations, highly recommend.",true,6,2024-03-01
131,55,52,2,Not so good,"Exceeded my expectations, highly recommend.",true,35,2023-09-05
132,10,114,1,Very good,"Exceeded my expectations, highly recommend.",false,4,2024-02-10
133,13,237,3,Could be better,Excellent value for money.,true,14,2024-12-02
134,15,186,2,Very good,Good but expected a bit more.,true,49,2023-04-15
135,73,119,5,Meets expectations,Excellent value for money.,true,0,2023-09-07
136,79,15,4,Could be better,Excellent value for money.,true,31,2023-07-07
137,72,2,4,Not so good,Excellent value for money.,true,23,2023-12-13
138,31,131,2,Very good,Very good quality for the price.,true,7,2023-03-11
139,56,89,4,Meets expectations,Very good quality for the price.,true,37,2023-03-26
140,7,286,4,Very good,Product is fine but delivery was slow.,true,35,2025-07-22
141,39,293,5,Could be better,Does what it promises.,true,26,2026-03-08
142,24,55,3,Excellent product,Product is fine but delivery was slow.,true,20,2025-08-02
143,43,287,5,Excellent product,"Exceeded my expectations, highly recommend.",true,20,2026-01-25
144,55,276,2,Good quality,Very good quality for the price.,false,34,2025-07-22
145,78,152,4,Meets expectations,Product is fine but delivery was slow.,true,22,2023-08-07
146,82,45,3,Excellent product,Arrived on time and in perfect condition.,true,1,2024-08-04
147,79,176,5,Satisfied,Product is fine but delivery was slow.,true,30,2023-09-12
148,17,68,2,Good quality,Arrived on time and in perfect condition.,true,15,2023-11-05
149,15,284,1,Recommended,Good but expected a bit more.,true,45,2024-09-03
150,9,32,3,Very good,Does what it promises.,true,20,2023-05-16
151,14,296,4,Very good,Product is fine but delivery was slow.,true,1,2023-06-22
152,2,31,1,Excellent product,"Exceeded my expectations, highly recommend.",true,24,2024-06-24
153,20,20,3,Excellent product,Does what it promises.,true,41,2024-07-02
154,55,103,3,Not so good,Does what it promises.,true,0,2025-04-18
155,82,249,5,Good quality,Did not meet my expectations.,true,3,2025-06-02
156,13,143,5,Meets expectations,Did not meet my expectations.,true,15,2025-10-01
157,68,96,4,Excellent product,Product is fine but delivery was slow.,true,27,2024-04-19
158,32,281,3,Very good,Does what it promises.,true,10,2025-02-14
159,3,62,1,Recommended,Arrived on time and in perfect condition.,true,38,2024-04-28
160,14,130,4,Excellent product,"Exceeded my expectations, highly recommend.",false,38,2026-03-15
161,14,10,3,Very good,"Exceeded my expectations, highly recommend.",false,14,2024-01-08
162,22,121,2,Could be better,Did not meet my expectations.,true,3,2023-03-06
163,96,79,5,Could be better,Good but expected a bit more.,true,30,2025-07-09
164,15,333,1,Very good,"Exceeded my expectations, highly recommend.",false,18,2024-06-01
165,69,85,3,Not so good,"Exceeded my expectations, highly recommend.",true,17,2023-01-08
166,16,272,3,Very good,Product is fine but delivery was slow.,true,9,2024-03-20
167,8,161,3,Recommended,Product is fine but delivery was slow.,true,39,2023-01-03
168,76,98,4,Satisfied,Arrived on time and in perfect condition.,true,16,2023-07-30
169,32,64,5,Meets expectations,Did not meet my expectations.,true,7,2024-10-11
170,22,186,3,Excellent product,"Exceeded my expectations, highly recommend.",true,15,2025-07-08
171,8,213,2,Excellent product,Good but expected a bit more.,true,49,2023-11-14
172,79,132,2,Recommended,Very good quality for the price.,true,44,2023-10-25
173,74,12,1,Good quality,"Exceeded my expectations, highly recommend.",false,42,2025-04-19
174,72,318,5,Could be better,"Exceeded my expectations, highly recommend.",true,50,2023-06-06
175,40,89,5,Not so good,Very good quality for the price.,true,41,2023-09-08
176,59,233,3,Very good,Very good quality for the price.,false,39,2024-05-14
177,3,306,1,Could be better,Arrived on time and in perfect condition.,false,2,2025-10-01
178,67,74,1,Recommended,Product is fine but delivery was slow.,true,33,2023-10-14
179,16,117,2,Could be better,Good but expected a bit more.,true,45,2024-07-15
180,47,169,5,Not so good,Does what it promises.,true,27,2025-06-05
181,39,70,1,Could be better,Very good quality for the price.,false,41,2023-10-17
182,80,291,1,Could be better,Very good quality for the price.,true,0,2023-01-06
183,8,85,2,Meets expectations,Excellent value for money.,true,5,2023-02-10
184,99,84,3,Meets expectations,"Exceeded my expectations, highly recommend.",true,38,2026-03-08
185,19,269,5,Could be better,Very good quality for the price.,true,40,2023-06-17
186,51,246,2,Not so good,Product is fine but delivery was slow.,true,6,2024-05-21
187,31,292,1,Good quality,Very good quality for the price.,true,15,2023-08-31
188,84,182,1,Excellent product,Did not meet my expectations.,false,32,2024-11-04
189,25,85,3,Meets expectations,Good but expected a bit more.,true,41,2024-03-18
190,38,183,2,Very good,Product is fine but delivery was slow.,true,19,2023-07-18
191,80,3,2,Excellent product,Does what it promises.,false,22,2025-05-07
192,53,319,1,Could be better,Product is fine but delivery was slow.,true,15,2023-03-27
193,40,73,5,Satisfied,Arrived on time and in perfect condition.,false,21,2026-01-28
194,24,110,3,Recommended,Very good quality for the price.,false,30,2025-01-05
195,71,74,4,Excellent product,Does what it promises.,true,41,2024-02-29
196,79,325,3,Good quality,Good but expected a bit more.,true,44,2023-08-16
197,36,264,2,Excellent product,Very good quality for the price.,false,4,2023-03-01
198,58,86,1,Satisfied,"Exceeded my expectations, highly recommend.",false,20,2025-12-13
199,56,58,1,Could be better,Did not meet my expectations.,true,42,2023-05-21
200,15,191,5,Good quality,Does what it promises.,true,41,2024-06-19